district_a,district_b,score_a,score_b,score_gap,cluster_a,cluster_b,biggest_domain_gap,row_a,row_b
Palakkad (Kerala),South Salmara Mancachar (Assam),0.5625093584096452,0.562707176413988,0.00019781800434282015,3,6,0.6651591240479944,289,65
Banaskantha (Gujarat),Namsai (Arunachal Pradesh),0.4963008550197879,0.5008635307855385,0.00456267576575059,7,1,0.663123575998966,143,27
Jyotiba Phule Nagar (Uttar Pradesh),Sukma (Chhattisgarh),0.57842636425749,0.5823770192058276,0.003950654948337573,6,4,0.6626562356327492,646,130
Pathanamthitta (Kerala),Kaimur (Bhabua) (Bihar),0.5994602522678962,0.6024071008423451,0.0029468485744488238,3,6,0.6624731732780007,290,82
Khunti (Jharkhand),Barnala (Punjab),0.5511237895829644,0.554954896489869,0.00383110690690458,6,2,0.6614128273958404,237,467
East Khasi Hills (Meghalaya),Sahibganj (Jharkhand),0.4814867384412738,0.4915194029001076,0.010032664458833773,1,6,0.6612388753599611,393,247
Mahesana (Gujarat),Anjaw (Arunachal Pradesh),0.4904047140915024,0.4940652955960629,0.0036605815045605006,7,1,0.660632013940295,156,16
Pilibhit (Uttar Pradesh),Sukma (Chhattisgarh),0.581212656088848,0.5823770192058276,0.0011643631169796498,6,4,0.6605562619672755,666,130
Gariyaband (Chhattisgarh),Ernakulam (Kerala),0.6435378299529959,0.6464996536428517,0.002961823689855758,4,3,0.6603261171744873,117,281
Dibang Valley (Arunachal Pradesh),Kamrup Metropolitan (Assam),0.5386126983562985,0.5423008528057629,0.0036881544494643537,1,7,0.6599867724683762,18,54
Garhwa (Jharkhand),West Kameng (Arunachal Pradesh),0.5127357461516312,0.5179377912186482,0.005202045067017047,6,1,0.656865155247629,231,34
Dindori (Madhya Pradesh),Jalaun (Uttar Pradesh),0.5881854868243642,0.5889928583982545,0.0008073715738903253,4,6,0.6563612092500882,312,643
Pathanamthitta (Kerala),Dhemaji (Assam),0.5994602522678962,0.6028882074374831,0.003427955169586827,3,4,0.6558038736338037,290,44
Malkangiri (Odisha),Thiruvallur (Tamil Nadu),0.6329132713385566,0.6333530290858472,0.00043975774729065886,4,3,0.6556904291016563,452,547
Sangareddy (Telangana),Nicobar (Andaman Nicobar Islands),0.5747444584857997,0.5757717490671338,0.001027290581334106,0,3,0.6550483714877602,580,0
Narayanpur (Chhattisgarh),Yadadri Bhuvanagiri (Telangana),0.6024117263860163,0.6035883429853836,0.0011766165993672972,4,0,0.654681666814972,126,587
Aurangabad (Maharashtra),Kaushambi (Uttar Pradesh),0.5621463260099421,0.5641762441493862,0.002029918139444087,7,6,0.6543868684828655,349,651
Dausa (Rajasthan),Kozhikode (Kerala),0.6560621205035196,0.6576581655154256,0.001596045011905911,4,3,0.6542205702530361,499,287
Kandhamal (Odisha),Surat (Gujarat),0.6581365535388186,0.6619160801173338,0.0037795265785152132,4,2,0.6541018208690585,447,166
Anjaw (Arunachal Pradesh),Banaskantha (Gujarat),0.4940652955960629,0.4963008550197879,0.0022355594237249976,1,7,0.6528079542972689,16,143
Nicobar (Andaman Nicobar Islands),Siddipet (Telangana),0.5757717490671338,0.576072279100407,0.00030053003327323857,3,0,0.6524682623547876,0,581
Barwani (Madhya Pradesh),Sangli (Maharashtra),0.6113329411038655,0.6115229397631894,0.0001899986593238978,4,2,0.6523588637375597,301,374
Wanaparthy (Telangana),Malappuram (Kerala),0.6096012702500649,0.6104726497390263,0.0008713794889613213,0,3,0.6519863290003478,584,288
Sukma (Chhattisgarh),Murshidabad (West Bengal),0.5823770192058276,0.5824404339686596,6.341476283200365e-05,4,5,0.6514788243010735,130,694
Dakshina Kannada (Karnataka),Kandhamal (Odisha),0.6577802952461034,0.6581365535388186,0.0003562582927152391,2,4,0.6503896228798305,261,447
Barnala (Punjab),Changlang (Arunachal Pradesh),0.554954896489869,0.5558792580936791,0.0009243616038101532,2,1,0.6503642986662367,467,17
Namsai (Arunachal Pradesh),Bathinda (Punjab),0.5008635307855385,0.5030129093362417,0.002149378550703185,1,2,0.6499902648086338,27,468
Dimapur (Nagaland),Cachar (Assam),0.5081114525870024,0.517274294156777,0.009162841569774538,1,7,0.6487101567832354,410,40
Hardoi (Uttar Pradesh),Nashik (Maharashtra),0.5299301064663668,0.5339820340030678,0.004051927536700917,6,7,0.648218290296612,642,367
Kottayam (Kerala),Kendujhar (Odisha),0.560417011108379,0.563255100777122,0.0028380896687429935,3,4,0.6475303802919411,286,449
Hardoi (Uttar Pradesh),Kurung Kumey (Arunachal Pradesh),0.5299301064663668,0.5302289963683796,0.00029888990201276666,6,1,0.6473174590816334,642,22
Srikakulam (Andhra Pradesh),Kannur (Kerala),0.6207080154255848,0.6228907645298017,0.0021827491042168967,0,3,0.6464066930857948,10,283
Alirajpur (Madhya Pradesh),Thane (Maharashtra),0.6036400618582448,0.6060805519057342,0.002440490047489363,4,2,0.6458159793475833,297,378
East Godavari (Andhra Pradesh),Budaun (Uttar Pradesh),0.5215152868899147,0.5260500529395137,0.004534766049599015,0,6,0.6446202250266682,5,624
Hailakandi (Assam),Kurung Kumey (Arunachal Pradesh),0.5251338123791034,0.5302289963683796,0.00509518398927622,7,1,0.6440376255451956,50,22
Dhenkanal (Odisha),Saharanpur (Uttar Pradesh),0.6065283854250764,0.6080198646540442,0.0014914792289678624,5,4,0.6438570510045529,440,671
Sukma (Chhattisgarh),Gulbarga (Karnataka),0.5823770192058276,0.5829106810601363,0.000533661854308698,4,7,0.6436493983420212,130,265
Thiruvananthapuram (Kerala),Gumla (Jharkhand),0.5866864716453845,0.5889571828866778,0.0022707112412932995,3,4,0.6434640439754274,291,234
Lower Dibang Valley (Arunachal Pradesh),Rajgarh (Madhya Pradesh),0.5682285493792836,0.570085542097446,0.0018569927181624202,1,4,0.6428840076901726,25,329
Shamli (Uttar Pradesh),Dhenkanal (Odisha),0.6064288339470234,0.6065283854250764,9.95514780529616e-05,4,5,0.6422741280651578,676,440
