state,district,census_code,cluster,cluster_name,composite_score,composite_group,distance_to_centroid,domain_child_health_immunisation,domain_education,domain_energy,domain_maternal_health,domain_ncd,domain_nutrition,domain_population_household,domain_tobacco_alcohol,domain_wash,domain_women_empowerment
Bihar,Madhepura,10011.0,6,"Low development, weak clean energy and weak civil registration",0.4827319548210683,0,6.905402951097878,-0.3248127952325932,-1.1574756765657759,-0.8462536493943111,-0.542960261999818,0.3847292659878125,-0.4652029540539579,-0.9945372454772919,0.13086064878579523,-0.9142626584678373,-1.1801894315565131
Bihar,Madhubani,10005.0,6,"Low development, weak clean energy and weak civil registration",0.4842742490002918,0,6.072863454641311,-0.32967295494527743,-1.1283242880006379,-0.10278167791526588,-0.4716145808556517,-0.1306224260560478,-0.37279647830361967,-0.7193082394792905,0.2468298568300058,-0.8120578904794991,-1.115810439686397
Bihar,Munger,10024.0,7,"Middle development, weak women's agency",0.5370959275601832,1,6.664578849181341,-0.33545398183841607,0.19644453631637243,0.2747170215511486,-0.18512422993515573,-0.1377036438221674,-0.6485603387416532,-0.5607753802217409,0.49763506325621665,-0.08578923840363076,-0.40703195166442263
Bihar,Muzaffarpur,10014.0,6,"Low development, weak clean energy and weak civil registration",0.5033766928836564,0,5.206169766011898,-0.2121418132623216,-0.6569621722619278,-0.3132842511148381,-0.7648840696180205,0.012998367739872967,-0.08839095413059818,-1.0590779276158526,0.22489088392496737,-0.2186844829516869,-0.6212395157772241
Bihar,Nalanda,10027.0,6,"Low development, weak clean energy and weak civil registration",0.5188020120820503,1,4.8039252353311745,-0.4856051007117862,-0.734213851147288,-0.045844085594377804,-0.4312817941715744,0.5028022694138723,-0.6787990260914789,-1.0294474894075154,0.1622059728631342,-0.37532135698502866,-0.4796541617213063
Bihar,Nawada,10035.0,6,"Low development, weak clean energy and weak civil registration",0.5350840539913876,1,5.075524620923702,-0.15479660520721025,-0.4449567160598451,-0.23322399021720383,-0.39394742546559847,0.5077160009089597,-0.32040617792610443,-1.1028094063949254,0.048606143720338335,-0.5129752755366555,-0.6146483269711357
Bihar,Pashchim Champaran,10001.0,6,"Low development, weak clean energy and weak civil registration",0.4443335322913526,0,5.6665720523016585,-1.0989394147563476,-1.1047479272340455,-0.8968084753181044,-0.7378825321986506,0.19151614024465707,-0.30614684309641,-1.0602389454310057,0.30386135447959683,-0.6506291940882815,-1.3190390560302911
Bihar,Patna,10028.0,6,"Low development, weak clean energy and weak civil registration",0.4883729469882428,0,6.0793754457040325,-0.6075274435661291,0.04554613899006066,0.454844500308058,-0.7990028025346578,0.11942026557872155,-0.4457250224520542,-1.0733801688544105,0.35894202899774896,-0.08170563949281312,-0.9663959700065622
Bihar,Purba Champaran,10002.0,6,"Low development, weak clean energy and weak civil registration",0.4290897701054852,0,6.853818063994712,-1.0182005365225453,-1.300210150825993,-0.47478638041462934,-1.1566926284374843,0.2207315146242222,-0.010223866334284319,-1.046628161912664,0.08075618703301948,-0.4620171960394061,-1.5047513206635967
Bihar,Purnia,10009.0,6,"Low development, weak clean energy and weak civil registration",0.3985939484957347,0,8.57411934021842,-0.8266490418879135,-1.2811722353844281,-1.2801820472772882,-0.990626106177687,0.08142102561914268,-0.47038996267890737,-0.9947606520047669,0.2666460874044695,-0.8958367408376976,-2.3943978070210017
Bihar,Rohtas,10032.0,6,"Low development, weak clean energy and weak civil registration",0.6041891557543503,4,6.255109264450509,0.5516114466360302,-0.03716086639243736,0.03834883542268672,-0.15586673276200144,0.44995059629980577,-0.28006363684507357,-0.8566334017945813,0.4223061373439318,0.24955502559361065,-0.03054215039795307
Bihar,Saharsa,10012.0,6,"Low development, weak clean energy and weak civil registration",0.4611627370353748,0,7.355083818612658,-0.11368623857806834,-1.6734442698936414,-0.5782893734440028,-0.9979332046471768,0.38622833913328153,-0.15598321437325757,-0.8072762289715337,0.13313195235901418,-0.7309469861169262,-1.806262477691147
Bihar,Samastipur,10019.0,6,"Low development, weak clean energy and weak civil registration",0.507707206375643,0,4.861785260957568,-0.1454307681070408,-1.0986582839460712,-0.5337862486638497,-0.5918483032966962,0.26068799465270154,-0.2033306317630235,-0.784168344007639,0.32896456443393374,-0.5242300338071344,-0.927967866257787
Bihar,Saran,10017.0,6,"Low development, weak clean energy and weak civil registration",0.4840342345249289,0,5.6094470480121785,-0.2669314676656937,-0.5256235828442603,-0.7729298121955095,-0.606863734075168,0.09516880044827074,-0.3295990184476107,-1.156572618398238,0.30102931910389485,-0.8657494187020619,-1.2271829482976095
Bihar,Sheikhpura,10026.0,6,"Low development, weak clean energy and weak civil registration",0.5480413996766647,1,5.728577447381076,-0.2048771578550011,-0.9601705435430252,-0.2535834437848992,-0.19999836486413422,0.5812963237027546,-0.625350329478218,-0.8697632762908848,0.23477734992550287,-0.34607968169480896,-0.2980968119487176
Bihar,Sheohar,10003.0,6,"Low development, weak clean energy and weak civil registration",0.50769094255354,0,4.013416032997817,-0.7880653400317451,-1.3494668109715906,-0.4036842705738156,-0.4668803131439322,0.39527410405277025,-0.31122724700670873,-0.6002008648436832,0.1292950623949832,-0.11732536180876513,-0.49863963514344345
