child_stunted,child_wasted,child_severely_wasted,child_underweight,child_overweight,children_anaemic,women_15_19_anaemic,women_15_49_anaemic,nonpregnant_women_anaemic
28.8,29.5,11.1,35.9,5.2,65.0,63.9,50.2,49.5
38.9,15.8,4.6,33.6,1.9,78.1,64.2,65.2,65.0
31.9,10.1,4.3,25.1,1.6,75.1,49.2,49.8,49.6
40.1,12.4,2.4000000000000004,33.0,0.7000000000000002,78.4,66.6,62.5,62.5
38.8,28.0,18.8,34.7,5.3,85.6,69.4,62.6,63.3
34.8,19.5,8.2,27.2,2.8,78.8,52.1,51.9,52.4
28.7,21.2,6.3,24.9,2.2,78.8,55.9,48.1,47.9
49.3,17.9,5.6,41.7,1.0999999999999996,80.1,63.7,58.8,58.7
49.5,21.8,10.6,44.0,1.7000000000000002,78.7,61.0,58.7,59.2
38.4,20.7,7.5,35.3,3.2,86.8,68.9,64.8,66.9
31.4,27.4,11.9,44.0,4.9,71.5,56.1,50.1,50.5
32.1,15.9,3.9,33.0,2.0,70.2,64.2,60.6,60.5
30.9,13.1,4.1,22.9,1.2000000000000002,65.4,56.4,56.7,57.0
40.0,10.1,2.7,29.6,2.3999999999999995,74.7,66.0,67.5,68.4
32.0,19.6,5.1,28.1,1.0,73.4,48.5,46.9,46.6
33.0,13.1,5.4,27.7,2.5,77.2,57.7,50.3,50.6
45.1,23.2,7.9,39.2,2.3999999999999995,74.5,63.1,59.0,58.8
30.4,21.1,4.8,25.4,0.0,61.1,69.4,56.9,56.9
27.6,22.4,9.0,26.8,4.1,77.5,51.9,52.3,52.6
29.0,16.2,4.2,28.6,1.2000000000000002,74.0,60.5,59.5,59.4
37.0,18.7,8.3,31.5,2.9,78.0,65.3,61.7,61.7
42.7,15.2,4.7,35.8,2.3,83.3,49.7,49.8,49.5
49.4,16.8,6.2,31.2,2.3,81.8,65.1,57.3,57.5
21.9,20.3,9.6,27.6,3.0,82.4,50.5,45.3,44.8
23.5,21.1,5.0,31.1,0.0,71.8,58.9,59.9,60.0
44.0,20.4,5.5,39.2,2.1,57.3,53.3,56.4,56.4
27.8,23.4,9.7,27.6,2.5,76.1,51.4,45.8,45.9
45.8,16.2,7.9,37.7,1.2000000000000002,71.6,61.8,64.9,65.3
39.2,18.4,5.7,36.1,0.0,70.5,54.6,51.1,50.7
39.1,16.6,6.4,32.8,2.5,72.5,59.6,55.7,55.7
37.3,25.2,6.6,36.0,0.8999999999999999,56.6,60.1,54.1,54.4
27.5,19.7,7.3,34.9,0.0,67.5,56.4,49.1,49.9
34.7,29.8,12.6,36.2,2.8,81.6,62.9,54.5,54.8
45.3,15.5,4.0,36.6,2.7,71.5,55.3,51.5,51.6
36.5,16.6,3.4000000000000004,34.4,0.30000000000000027,52.3,27.1,38.5,37.9
31.7,24.9,8.6,41.2,1.7999999999999998,64.5,45.0,50.3,50.5
31.8,29.4,14.7,30.8,8.6,77.5,60.3,52.6,53.2
29.0,26.2,10.7,38.0,2.2,74.4,64.8,53.4,53.6
34.2,26.4,11.8,42.9,2.8,64.5,47.4,52.4,52.6
31.3,28.4,13.2,33.9,4.7,72.8,66.1,65.3,65.4
40.8,28.4,11.9,36.8,3.5,61.0,48.0,50.8,51.0
45.0,31.700000000000003,14.8,47.2,4.8,79.4,66.8,57.8,58.5
37.3,38.5,21.8,46.6,7.6,76.6,61.7,55.5,55.9
37.6,38.9,18.1,46.0,0.20000000000000018,72.2,59.8,61.2,60.8
35.7,30.0,13.5,35.4,9.5,76.6,67.3,66.2,67.1
36.9,23.7,11.1,35.6,8.3,78.0,65.2,60.4,60.9
37.4,25.8,10.5,38.9,1.0,72.5,60.5,51.3,51.2
36.3,30.5,8.0,36.9,1.5,85.2,69.4,65.2,65.3
38.0,22.2,8.2,39.0,1.2999999999999998,68.3,54.6,58.2,58.7
33.6,18.9,5.9,34.7,4.3,66.4,42.8,50.1,50.1
43.2,18.0,8.0,33.9,5.3,59.5,56.5,50.7,50.7
26.6,25.3,9.1,29.6,6.1,72.8,54.7,45.9,46.9
37.2,18.6,7.2,24.6,10.5,65.6,67.2,50.0,49.7
